year,NAME,GEO_ID,S1901_C01_012E,income_source
2018,"San Francisco County, California",0500000US06075,112376,1yr
2018,"Shasta County, California",0500000US06089,56280,1yr
2022,"Alpine County, California",0500000US06003,101125,5yr
2021,"Sierra County, California",0500000US06091,56152,5yr
2021,"Siskiyou County, California",0500000US06093,49857,5yr
2021,"Trinity County, California",0500000US06105,42206,5yr
2021,"Tuolumne County, California",0500000US06109,66846,5yr
2022,"Amador County, California",0500000US06005,74853,5yr
2022,"Mono County, California",0500000US06051,82038,5yr
2022,"Colusa County, California",0500000US06011,69619,5yr
2022,"Del Norte County, California",0500000US06015,61149,5yr
2022,"Glenn County, California",0500000US06021,64033,5yr
2022,"Inyo County, California",0500000US06027,63417,5yr
2022,"Lassen County, California",0500000US06035,59515,5yr
2022,"Mariposa County, California",0500000US06043,60021,5yr
2022,"Modoc County, California",0500000US06049,54962,5yr
2022,"Calaveras County, California",0500000US06009,77526,5yr
2021,"Plumas County, California",0500000US06063,57885,5yr
2020,"Mono County, California",0500000US06051,64924,5yr
2021,"Modoc County, California",0500000US06049,51090,5yr
2020,"Plumas County, California",0500000US06063,57233,5yr
2020,"San Benito County, California",0500000US06069,85808,5yr
2020,"Sierra County, California",0500000US06091,52103,5yr
2020,"Siskiyou County, California",0500000US06093,47403,5yr
2020,"Tehama County, California",0500000US06103,48895,5yr
2020,"Trinity County, California",0500000US06105,41780,5yr
2020,"Tuolumne County, California",0500000US06109,60509,5yr
2021,"Alpine County, California",0500000US06003,96000,5yr
2021,"Amador County, California",0500000US06005,69955,5yr
2021,"Calaveras County, California",0500000US06009,70119,5yr
2021,"Colusa County, California",0500000US06011,61861,5yr
2021,"Del Norte County, California",0500000US06015,53280,5yr
2021,"Glenn County, California",0500000US06021,56332,5yr
2021,"Inyo County, California",0500000US06027,60925,5yr
2021,"Lassen County, California",0500000US06035,59292,5yr
2021,"Mariposa County, California",0500000US06043,53304,5yr
2021,"Mono County, California",0500000US06051,71138,5yr
2022,"Plumas County, California",0500000US06063,67885,5yr
2022,"Sierra County, California",0500000US06091,61108,5yr
2024,"Alpine County, California",0500000US06003,105521,5yr
2024,"Amador County, California",0500000US06005,88044,5yr
